127	126
128	127
129	128
139	362	131
135	134	142
9	136	135
422	127	343
363	129	138
142	11	154
142	147	5
145	144	160
8	370	153
155	352	422
149	363	150
146	152	162
153	146	19
153	163	154
381	157
155	148	158
21	15	27
377	155	375
163	19	28
394	163	169
157	170
377	158	171
166	151	172
177	168	167
395	19	162
29	21	396
169	28	173
384	168	395
353	173	42
170	179
171	180	174
35	378	181
391	392	34
386	382	175
176	172	175
396	385	400
174	184	181
185	41	45
40	177	176
183	31	47
189	179
184	180	190
186	40	193
385	345	401
42	187	426
387	184	196
197	386	354
189	201
196	190	202
379	203	197
196	212	397
204	205	192
355	206	216
200	210	219
390	201
228	211
222	205	221
404	239	412
225	224	412
390	433
434	389	409
231	225	334
238	222	410
239	246	240
433	427
242	232	241
243	233	242
336	243	414
246	237	249
75	241	255
252	251	78
80	427
256	242	72
258	243	257
244	357	259
73	403	268
262	283	359
74	85	87
271	255	264
83	257	272
265	258	82
273	357	416
80	263	270
274	267	290
80	276
277	271	286
278	264	277
279	265	280
289	416	418
282	274	291
282	292	283
98	278	287
291	290	301
292	291	302
99	283	293
94	277	294
97	361	296
303	285
360	287	305
301	300	349
302	301	307
315	425	420
349	118	307
302	316	367
304	407	318
330	307	316
317	316	331
320	415	328
323	311
113	312	324
318	112
325	326
327	326
117	328
116	320	329
119	105	329
330	118
330	331
331	332
333	332
333
408
408	126
0	125	337
1	0	6
138	1	2
342	2	7
342	365	131
130	3
362	133
132	371
141	4
5	4
5	137
136	143
372	128	7
3	365	145
370	369	146
371	370	134
4	8	9
137	381
151	364	10
139	10	351
140	14	15
393	381	9
18	423
13	372	373
151	13	366
150	25	144
351	156	14
11	15	16
8	16	393
20	18	12
152	160	161
17	394	23
18	24
366	373	380
10	167	156
168	162	156
161	27	14
16	21	22
380	375	378
172	382	366
167	25	176
160	166	26
26	30	161
22	29	344
23	344	32
33	24
25	165	37
29	400	31
33	39	376
36	185	37
166	37	41
26	41	182
183	179	353
32	178	43
33	44
34	39	383
384	186	177
178	42	188
39	44	48
175	40	354
182	45	194
399	47	400
195	189	183
50	188	43
44	51
391	383	379
54	354	193
45	192	198
186	198	345
426	200	188
48	51	53
49	52	204
206	193	194
399	209	428
195	56	201
200	57	50
211	51
52	213	214
54	197	215
54	59	206
198	205	55
346	355	223
346	224	209
217	208	199
428	218	56
212	202	58
211	53	220
203	388	389
203	409	215
214	221	204
222	404	55
218	225	209
210	217	226
56	227	390
229	212	335
59	215	411
216	59	65
404	224	207
208	223	61
217	61	64
227	231	218
219	226	402
229	58	232
220	228	233
409	235	411
226	64	430
228	68
229	69	234
335	233	336
340	230	434
410	340	245
71	245	238
65	237	239
60	238	66
66	405	251
68	72
68	75	69
69	76	70
77	338	341
237	236	341
66	71	250
254	432	429
249	341	357
71	248	260
261	251	246
240	250	73
413	73	358
347	358	432
247	263	427
72	81
75	264	257
256	82	76
406	76	83
77	406	266
267	261	249
250	260	403
358	268	79
254	347	85
89	81	256
266	83	90
259	265	273
416	260	86
262	78	282
293	270	359
269	276	85
88	81
82	278	279
84	266	281
92	86	403
285	276	284
87	270	275
88	98	89
272	89	94
90	272	288
417	90	281
273	280	418
268	92	93
93	97	79
293	297	275
275	100
88	299
94	101	288
279	287	419
290	91	300
86	289	95
96	95	92
93	96	361
269	97	284
299	98	304
424	417	425
99	309	297
296	303	284
407	299
294	286	298
289	421	102
103	102	95
96	103	106
100	297	350
294	107	305
101	304	313
349	348	320
108	105	103
367	317	309
296	308	310
309	322	350
350	111
407	112
314	305	325
313	319	360
104	319	327
106	108	109
308	109	321
113	107	325
315	314	326
306	110	117
332	317	322
310	321	323
322	333	111
112
318	114	313
115	319	114
315	115	328
110	327	116
117	118
108	119	120
109	120	121
121	122	321
323	122	123
64	405	413
220	356	234
70	434	234
423	422	126
340	414	244
408	423
236	235	338
245	244	248
129	130
372	6	352
170	169	353
355	46	194
208	207	401
263	253	359
306	421	415
102	105	306
311	303	310
145	152	369
12	374	343
178	31	344
192	185	49
345	55	207
335	397	389
248	77	84
252	262	253
79	269	347
420	101	314
99	292	367
368	3	132
364	7	13
365	363	144
364	139	130
150	159	165
361	106	308
369	371	362
351	140	368
141	140	11
141	133	368
149	138	343
374	149	159
373	352	375
20	164	374
377	378	174
20	24	376
376	34	164
388	52	191
392	159	164
17	143	147
36	165	392
387	181	191
30	182	385
38	384	46
36	391	49
398	383	48
379	398	213
63	356	213
62	57	219
191	386	35
380	35	382
154	394	147
157	393	22
27	30	396
38	28	395
356	398	53
388	387	397
199	187	401
187	38	173
399	46	346
430	429	227
261	78	274
223	216	60
412	240	334
414	258	259
312	107	298
125	124	339
230	214	63
236	411	65
221	230	410
61	60	405
334	252	431
338	70	406
348	425	110
91	84	267
295	280	419
91	281	424
417	288	420
104	419	360
424	348	300
12	6	337
148	339	337
421	418	295
295	104	415
428	195	47
74	67	254
426	199	210
247	433	402
431	231	402
430	432	413
253	431	247
62	67	429
63	235	336
