127	126
128	127
128	129
139	362	131
135	134	142
135	9	136
127	343	422
363	129	138
142	11	154
147	5	142
145	144	160
370	153	8
155	352	422
149	363	150
162	146	152
153	146	19
153	163	154
381	157
148	158	155
21	15	27
155	375	377
163	19	28
394	163	169
157	170
377	158	171
172	166	151
168	167	177
395	19	162
29	21	396
173	169	28
168	395	384
353	173	42
170	179
180	174	171
378	181	35
391	392	34
386	382	175
175	176	172
385	400	396
184	181	174
45	185	41
177	176	40
183	31	47
189	179
184	180	190
40	193	186
385	345	401
42	187	426
387	184	196
386	354	197
189	201
196	190	202
203	197	379
212	397	196
204	205	192
355	206	216
219	200	210
390	201
228	211
222	205	221
404	239	412
224	412	225
433	390
434	389	409
225	334	231
238	222	410
246	240	239
433	427
242	232	241
233	242	243
336	243	414
249	246	237
75	241	255
252	251	78
80	427
72	256	242
243	257	258
259	244	357
73	403	268
262	283	359
74	85	87
255	264	271
83	257	272
265	258	82
273	357	416
80	263	270
267	290	274
80	276
277	271	286
278	264	277
265	280	279
289	416	418
282	274	291
282	292	283
278	287	98
291	290	301
292	291	302
99	283	293
294	94	277
97	361	296
303	285
360	287	305
349	301	300
302	301	307
420	315	425
349	118	307
302	316	367
304	407	318
316	330	307
317	316	331
320	415	328
323	311
113	312	324
318	112
325	326
327	326
117	328
320	329	116
119	105	329
330	118
330	331
331	332
333	332
333
408
408	126
337	0	125
1	0	6
138	1	2
342	2	7
365	131	342
3	130
362	133
132	371
141	4
4	5
137	5
136	143
372	128	7
365	145	3
370	369	146
134	371	370
4	8	9
137	381
151	364	10
351	139	10
15	140	14
393	381	9
18	423
373	13	372
13	366	151
150	25	144
14	351	156
11	15	16
8	16	393
20	18	12
152	160	161
23	17	394
24	18
366	373	380
10	167	156
156	168	162
14	161	27
16	21	22
380	375	378
366	172	382
25	176	167
160	166	26
26	30	161
344	22	29
344	32	23
33	24
25	165	37
31	29	400
33	39	376
37	36	185
37	41	166
26	41	182
183	179	353
178	43	32
33	44
34	39	383
384	186	177
178	42	188
39	44	48
175	40	354
45	194	182
399	47	400
195	189	183
188	43	50
44	51
391	383	379
54	354	193
192	198	45
198	345	186
426	200	188
48	51	53
204	49	52
206	193	194
399	209	428
201	195	56
200	57	50
51	211
213	214	52
215	54	197
54	59	206
205	55	198
355	223	346
346	224	209
217	208	199
428	218	56
212	202	58
211	53	220
203	388	389
409	215	203
214	221	204
222	404	55
225	209	218
210	217	226
56	227	390
229	212	335
215	411	59
59	65	216
404	224	207
61	208	223
61	64	217
231	218	227
219	226	402
229	58	232
220	228	233
411	409	235
226	64	430
228	68
229	69	234
233	336	335
340	230	434
245	410	340
71	245	238
65	237	239
60	238	66
405	251	66
68	72
68	75	69
69	76	70
341	77	338
237	236	341
71	250	66
429	254	432
249	341	357
71	248	260
246	261	251
240	250	73
413	73	358
347	358	432
247	263	427
72	81
75	264	257
256	82	76
76	83	406
77	406	266
267	261	249
250	260	403
79	358	268
85	254	347
89	81	256
266	83	90
265	273	259
86	416	260
262	78	282
293	270	359
269	276	85
88	81
82	278	279
84	266	281
92	86	403
284	285	276
87	270	275
88	98	89
89	94	272
272	288	90
417	90	281
273	280	418
93	268	92
79	93	97
293	297	275
275	100
88	299
94	101	288
279	287	419
300	290	91
86	289	95
92	96	95
96	361	93
269	97	284
299	98	304
424	417	425
99	309	297
303	284	296
407	299
298	294	286
421	102	289
103	102	95
106	96	103
297	350	100
294	107	305
101	304	313
320	349	348
108	105	103
367	317	309
296	308	310
322	350	309
350	111
407	112
325	314	305
313	319	360
104	319	327
106	108	109
308	109	321
113	107	325
314	326	315
117	306	110
332	317	322
321	323	310
333	111	322
112
114	313	318
115	319	114
315	115	328
116	110	327
117	118
108	119	120
120	121	109
121	122	321
323	122	123
64	405	413
356	234	220
70	434	234
423	422	126
340	414	244
408	423
338	236	235
248	245	244
129	130
372	6	352
170	169	353
194	355	46
208	207	401
253	359	263
306	421	415
306	102	105
311	303	310
145	152	369
12	374	343
31	344	178
192	185	49
345	55	207
335	397	389
77	84	248
252	262	253
347	79	269
420	101	314
99	292	367
368	3	132
13	364	7
365	363	144
364	139	130
150	159	165
106	308	361
369	371	362
368	351	140
141	140	11
141	133	368
149	138	343
374	149	159
375	373	352
164	374	20
377	378	174
20	24	376
164	376	34
191	388	52
392	159	164
17	143	147
165	392	36
191	387	181
30	182	385
38	384	46
49	36	391
383	48	398
379	398	213
63	356	213
62	57	219
386	35	191
380	35	382
147	154	394
157	393	22
27	30	396
38	28	395
356	398	53
388	387	397
199	187	401
173	187	38
399	46	346
430	429	227
78	274	261
216	60	223
412	240	334
259	414	258
312	107	298
124	339	125
63	230	214
65	236	411
221	230	410
61	60	405
334	252	431
338	70	406
425	110	348
84	267	91
295	280	419
91	281	424
288	420	417
419	360	104
424	348	300
12	6	337
337	148	339
421	418	295
295	104	415
195	47	428
74	67	254
199	210	426
402	247	433
231	402	431
432	413	430
431	247	253
67	429	62
63	235	336
