e_i,tv,t1,t2
"[[0.054273532032125524, -0.06746674963465128, 0.9962442579079155], [-0.07430454164174095, -0.4128504082640575, 0.907762840992961], [-0.09496414801615928, -0.40456927098552464, 0.9095633653384497]]","[[0.848205, 2.151664, -1.067882], [0.788334, 2.101886, -1.068382], [0.880885, 2.086252, -1.074474]]","[-0.982644843897831, 0.1736427130851795, 0.06524813371603373]","[0.35879846083364597, 0.9320754988273878, 0.04998928874351545]"
"[[-0.24706836541562774, -0.20603501711568692, 0.9468404271750275], [-0.2583230768078928, -0.19618824964981807, 0.9459277766763402], [-0.26234249855217445, -0.20235756797357024, 0.9435188541503685]]","[[1.499368, 1.383087, -1.118548], [1.592985, 1.338398, -1.11735], [1.587986, 1.408813, -1.118507]]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"[[-0.0737087191473381, -0.11241761997712935, 0.9909234599303504], [-0.08816725624342782, -0.07613350545662895, 0.9931919372776801], [-0.07720398280039875, -0.08601775372251565, 0.9932977857039088]]","[[0.827859, -0.672322, -1.124419], [0.831455, -0.583853, -1.102144], [0.747743, -0.616238, -1.10538]]","[0.9956501216859236, 0.08516873814816384, -0.037777258093393454]","[0.31471417783293526, -0.9152732645984208, -0.25145543816407834]"
"[[-0.000799511320048522, -0.13249708355934628, 0.9911830727115535], [-0.0012246083051754857, -0.15691491034113458, 0.9876113665036124], [-0.00027880906436352946, -0.14722157274272332, 0.9891034985200814]]","[[-0.004764, 1.050731, -1.053822], [0.038601, 1.133457, -1.0575], [-0.042877, 1.120386, -1.057263]]","[-0.003988336909731249, 0.9988942587803111, -0.04684392110431528]","[-0.9513599824331455, 0.30750716626910596, -0.018802300868496057]"
"[[-0.2736449531327869, -0.053748473979383385, 0.9603278300506772], [-0.28565416876812494, -0.06229575127726564, 0.9563058795376052], [-0.2716158545096211, -0.062390780460965696, 0.960381287870854]]","[[1.6491, 0.632863, -1.084547], [1.677316, 0.705881, -1.088006], [1.587958, 0.711609, -1.089756]]","[0.9923774254974181, 0.1228738734015004, 0.00943698036601489]","[0.8374187817033362, -0.5448885510825879, 0.04273465747631892]"
"[[-0.033222953957338056, -0.24355462486964588, 0.9693179973749351], [-0.041517700900054515, -0.22891019076697028, 0.9725617744261816], [-0.033818922238435425, -0.24320432069147646, 0.9693853407678642]]","[[-0.392308, 1.5323, -1.090969], [-0.41986, 1.433771, -1.093084], [-0.336163, 1.463545, -1.082849]]","[0.5135064029500142, -0.8545826799870218, 0.07745719589255243]","[0.6034457939693242, -0.7925299844711446, 0.08803066201556757]"
"[[-0.2988845613043161, -0.03358803572191365, 0.9536979935337339], [-0.31773219363365907, -0.05464522442400867, 0.9466045386413444], [-0.2736449531327869, -0.053748473979383385, 0.9603278300506772]]","[[1.70646, 0.570709, -1.079536], [1.743982, 0.645821, -1.082899], [1.6491, 0.632863, -1.084547]]","[0.9919733810516644, -0.1223261020634883, 0.03201774568707817]","[0.1610928180160235, -0.9850790323896672, 0.060567350362166573]"
"[[-0.2606264744805986, -0.14145279785032622, 0.9550209143155602], [-0.2686028378545014, -0.15800441942495821, 0.9502037249656993], [-0.2592857158599003, -0.14002656010238088, 0.9555958769359113]]","[[1.634717, 1.099221, -1.110121], [1.616119, 1.180208, -1.113104], [1.561717, 1.129624, -1.11192]]","[0.49516232867087456, 0.868445249013496, -0.024841854422002287]","[0.887822610033116, -0.4595077381423487, 0.02497301946678378]"
"[[-0.010427002613103054, -0.0006355980761019813, 0.9999454353271442], [-0.01022645081875201, -0.004052549601585977, 0.9999394964423488], [-0.015051542067342313, -0.001452055283665071, 0.9998856647721519]]","[[0.287036, -0.043076, -1.013569], [0.248663, -0.109715, -1.013852], [0.325749, -0.123685, -1.017152]]","[-0.9282850644433915, 0.3691370478199995, 0.04499643383718238]","[0.29210540329496726, 0.9562850636770897, 0.01390360938710947]"
"[[-0.008934833312704213, 0.0006824474310778095, 0.9999598507036059], [-0.009027528567008732, -0.004894529305319744, 0.9999472722653185], [-0.006170819586065047, -0.0012157173775599695, 0.9999802213128489]]","[[0.263145, 0.047027, -1.012345], [0.24018, 0.145378, -1.012413], [0.188938, 0.065423, -1.009528]]","[0.46794487389558675, 0.883317166096653, -0.027899445761901166]","[0.9956271218319772, 0.08386517493584458, -0.04114932205460161]"
